,UserID,party,country,start,end,term,Photo,Gender,Death,Twitter,Homepage,Facebook,Instagram,Mail,date_brith,place_brith,url,full,aliases
0,2307,Österreichische Volkspartei,Austria,1996-11-11T00:00:00,1999-07-19T00:00:00,4.0,https://www.europarl.europa.eu/mepphoto/2307.jpg,M,,,,,,,1948-10-03T00:00:00,Gries,http://www.europarl.europa.eu/meps/en/2307/name/cv,Hubert PIRKER,"['Hubert PIRKER', 'PIRKER', 'PIRKER Hubert']"
1,2307,Österreichische Volkspartei,Austria,1999-07-20T00:00:00,2004-07-19T00:00:00,5.0,https://www.europarl.europa.eu/mepphoto/2307.jpg,M,,,,,,,1948-10-03T00:00:00,Gries,http://www.europarl.europa.eu/meps/en/2307/name/cv,Hubert PIRKER,"['Hubert PIRKER', 'PIRKER', 'PIRKER Hubert']"
2,2307,Österreichische Volkspartei - Liste Ursula Stenzel,Austria,2006-02-01T00:00:00,2009-07-13T00:00:00,6.0,https://www.europarl.europa.eu/mepphoto/2307.jpg,M,,,,,,,1948-10-03T00:00:00,Gries,http://www.europarl.europa.eu/meps/en/2307/name/cv,Hubert PIRKER,"['Hubert PIRKER', 'PIRKER', 'PIRKER Hubert']"
3,2307,Österreichische Volkspartei,Austria,2011-03-31T00:00:00,2014-06-30T00:00:00,7.0,https://www.europarl.europa.eu/mepphoto/2307.jpg,M,,,,,,,1948-10-03T00:00:00,Gries,http://www.europarl.europa.eu/meps/en/2307/name/cv,Hubert PIRKER,"['Hubert PIRKER', 'PIRKER', 'PIRKER Hubert']"
4,111496,Partido Popular,Spain,2012-01-13T00:00:00,2014-06-30T00:00:00,7.0,https://www.europarl.europa.eu/mepphoto/111496.jpg,F,,,,,,,1972-05-24T00:00:00,Badajoz,http://www.europarl.europa.eu/meps/en/111496/name/cv,María Auxiliadora CORREA ZAMORA,"['CORREA ZAMORA', 'CORREA ZAMORA María Auxiliadora', 'María Auxiliadora CORREA ZAMORA', 'maría auxiliadora correa']"
5,110987,Unione dei Democratici cristiani e dei Democratici di Centro,Italy,2011-12-01T00:00:00,2014-06-30T00:00:00,7.0,https://www.europarl.europa.eu/mepphoto/110987.jpg,M,,,,,,,1940-09-03T00:00:00,Cosenza,http://www.europarl.europa.eu/meps/en/110987/name/cv,Gino TREMATERRA,"['Gino TREMATERRA', 'TREMATERRA', 'TREMATERRA Gino']"
6,1965,Volkspartij voor Vrijheid en Democratie,Netherlands,1994-07-19T00:00:00,1999-07-19T00:00:00,4.0,https://www.europarl.europa.eu/mepphoto/1965.jpg,M,,,,,,,1943-10-03T00:00:00,Diever,http://www.europarl.europa.eu/meps/en/1965/name/cv,Jan MULDER,"['Jan MULDER', 'MULDER', 'MULDER Jan']"
7,1965,Volkspartij voor Vrijheid en Democratie,Netherlands,1999-07-20T00:00:00,2004-07-19T00:00:00,5.0,https://www.europarl.europa.eu/mepphoto/1965.jpg,M,,,,,,,1943-10-03T00:00:00,Diever,http://www.europarl.europa.eu/meps/en/1965/name/cv,Jan MULDER,"['Jan MULDER', 'MULDER', 'MULDER Jan']"
8,1965,Volkspartij voor Vrijheid en Democratie,Netherlands,2004-07-20T00:00:00,2009-07-13T00:00:00,6.0,https://www.europarl.europa.eu/mepphoto/1965.jpg,M,,,,,,,1943-10-03T00:00:00,Diever,http://www.europarl.europa.eu/meps/en/1965/name/cv,Jan MULDER,"['Jan MULDER', 'MULDER', 'MULDER Jan']"
9,1965,Volkspartij voor Vrijheid en Democratie,Netherlands,2010-06-22T00:00:00,2014-06-30T00:00:00,7.0,https://www.europarl.europa.eu/mepphoto/1965.jpg,M,,,,,,,1943-10-03T00:00:00,Diever,http://www.europarl.europa.eu/meps/en/1965/name/cv,Jan MULDER,"['Jan MULDER', 'MULDER', 'MULDER Jan']"
10,39321,Partido Socialista Obrero Español,Spain,2007-09-27T00:00:00,2009-07-13T00:00:00,6.0,https://www.europarl.europa.eu/mepphoto/39321.jpg,M,,,,,,,1946-11-10T00:00:00,Llíria (Valencia),http://www.europarl.europa.eu/meps/en/39321/name/cv,Vicente Miguel GARCÉS RAMÓN,"['GARCÉS RAMÓN', 'GARCÉS RAMÓN Vicente Miguel', 'Vicente Miguel GARCÉS RAMÓN']"
11,39321,Partido Socialista Obrero Español,Spain,2011-12-01T00:00:00,2014-06-30T00:00:00,7.0,https://www.europarl.europa.eu/mepphoto/39321.jpg,M,,,,,,,1946-11-10T00:00:00,Llíria (Valencia),http://www.europarl.europa.eu/meps/en/39321/name/cv,Vicente Miguel GARCÉS RAMÓN,"['GARCÉS RAMÓN', 'GARCÉS RAMÓN Vicente Miguel', 'Vicente Miguel GARCÉS RAMÓN']"
12,108570,Piratpartiet,Sweden,2011-12-01T00:00:00,2014-06-30T00:00:00,7.0,https://www.europarl.europa.eu/mepphoto/108570.jpg,F,,,,,,,1987-08-30T00:00:00,Uppsala,http://www.europarl.europa.eu/meps/en/108570/name/cv,Amelia ANDERSDOTTER,"['ANDERSDOTTER', 'ANDERSDOTTER Amelia', 'Amelia ANDERSDOTTER']"
13,110365,Centerpartiet,Sweden,2011-10-21T00:00:00,2014-06-30T00:00:00,7.0,https://www.europarl.europa.eu/mepphoto/110365.jpg,M,,,,,,,1951-12-27T00:00:00,Händene,http://www.europarl.europa.eu/meps/en/110365/name/cv,Kent JOHANSSON,"['JOHANSSON', 'JOHANSSON Kent', 'Kent JOHANSSON']"
