"","UserID","term","Gender","committee","AFET","DROI","SEDE","DEVE","INTA","BUDG","CONT","ECON","FISC","EMPL","ENVI","SANT","ITRE","IMCO","TRAN","REGI","AGRI","PECH","CULT","JURI","LIBE","AFCO","FEMM","PETI"
"5354",197730,9,"M","LIBE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"5355",197731,9,"F","LIBE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"5356",197732,9,"M","EMPL, PECH",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"5357",197733,9,"M","ECON",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5358",197734,9,"M","EMPL, JURI, PETI, ECON, BUDG",0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"5359",197735,9,"F","IMCO",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5360",197736,9,"F","FEMM",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"5361",197737,9,"M","BUDG, ECON",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5362",197738,9,"F","ECON",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5363",197739,9,"F","CULT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"5364",197740,9,"M","ENVI",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5365",197742,9,"F","CONT, TRAN",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"5366",197743,9,"M","ENVI",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5367",197744,9,"F","LIBE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"5368",197746,9,"M","AGRI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5369",197747,9,"M","INTA, PETI",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"5370",197749,9,"F","ENVI",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5371",197751,9,"M","REGI, ENVI",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
"5372",197752,9,"F","ENVI",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5373",197754,9,"F","EMPL, FEMM",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
